tags,instruction,category,intent,response,pure_unicode,mixed_unicode,romanized,pure_unicode_rev,__index_level_0__
BCILPQ,I'd like to activate a visa on mobile where can i do it,CARD,activate_card,"I'm here to help you activate your {{Credit Card}} on your mobile device. To activate your {{Credit Card}}, you can follow these steps:

1. Download and open the mobile banking app provided by your bank.
2. Login to your account using your credentials.
3. Navigate to the ""Cards"" or ""Account Settings"" section.
4. Look for an option related to card activation or management.
5. Select the {{Credit Card}} you want to activate.
6. Follow the on-screen instructions, which may include entering the card details or verifying your identity.
7. Once the activation process is complete, you should receive a confirmation message.

If you encounter any difficulties during the activation process or if you have any questions, please don't hesitate to reach out. I'm here to assist you every step of the way!","म मोबाइलमा भिसा सक्रिय गर्न चाहन्छु, म कहाँ गर्न सक्छु?","म mobile मा Visa activate गर्न चाहन्छु, म कहाँ गर्न सक्छु?","ma mobile ma visa activate garna chahanchu, ma kaha garna sakchu?",,10
BCILQZ,i have tyo activate a visa can ya help me,CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}}. Activating your card is a quick and easy process. Here's what you need to do:

1. Locate the activation instructions that came with your {{Credit Card}}. They may be included in the welcome package you received.
2. Follow the provided instructions to activate your card online. You may need to visit the website mentioned in the instructions.
3. Enter the required information, such as your card number, expiration date, and CVV code, as prompted.
4. Once you've entered the necessary details, submit the activation request.

If you can't locate the activation instructions or need any further assistance, please provide me with the last four digits of your {{Credit Card}} number, and I'll be glad to help you out.","मलाई भिसा सक्रिय गर्नुपर्छ, के तपाई मलाई मद्दत गर्न सक्नुहुन्छ?","मलाई visa activate गर्नुपर्छ, के तपाई मलाई help गर्न सक्नुहुन्छ?","malai visa activate garnu parcha, ke tapai malai maddat garna saknuhunchha?",,11
B,help me activate an Amex online,CARD,activate_card,"I'd be happy to help you activate your {{Credit Card}} online. Here's what you need to do:

1. Visit the official website of Amex or log in to your {{Bank Account}}.
2. Look for the ""Activate Card"" or ""Card Activation"" option. It's usually located under the ""Account"" or ""Card Management"" section.
3. Click on the ""Activate Card"" option and follow the on-screen instructions.
4. You may be asked to enter your card details, such as the card number, expiration date, and security code.
5. Once you've provided the required information, submit the activation request.
6. If everything goes smoothly, your {{Credit Card}} should be successfully activated.

If you encounter any issues or have further questions during the activation process, please don't hesitate to reach out. I'm here to assist you every step of the way!",मलाई अनलाइन अमेक्स सक्रिय गर्न मद्दत गर्नुहोस्।,मलाई online Amex activate गर्न help गर्नुहोस्।,malai online Amex activate garna help garnuhos.,,12
BLPQ,I'd like to activate a visa online,CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} online. The process is quick and easy. Here's what you need to do:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your credentials. If you don't have an account yet, you can create one by following the prompts.
3. Navigate to the ""My Account"" or ""Card Services"" section.
4. Look for the option to activate your {{Credit Card}}. It might be labeled as ""Activate Card,"" ""Card Activation,"" or something similar.
5. Click on the activation option and follow the instructions provided.
6. You may be asked to enter the card details, such as the card number, expiration date, and security code. Make sure to have your {{Credit Card}} information handy.
7. Once you've completed the activation process, you should receive a confirmation message indicating that your {{Credit Card}} is now activated and ready to use.

If you encounter any difficulties or have any questions during the activation process, don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}. They'll be more than happy to assist you further.

Congratulations on your new {{Credit Card}}! Enjoy using it for all your purchases.",म अनलाइन भिसा सक्रिय गर्न चाहन्छु।,म online visa activate गर्न चाहन्छु।,ma online visa activate garna chahanchu.,,13
BCILP,"I need to activate a Master Card online, could I get some help?",CARD,activate_card,"I'm happy to help! I'm here to provide you with the assistance you need to activate your {{Credit Card}} online. Activating your card online is a simple process. Please follow the steps below:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your username and password.
3. Navigate to the ""Cards"" or ""Account Services"" section.
4. Look for the option to activate your card.
5. Provide the required information, such as the card number, expiration date, and security code.
6. Follow any additional prompts or instructions to complete the activation process.

If you encounter any difficulties or have specific questions during the activation process, don't hesitate to let me know. I'm here to ensure a smooth activation experience for you!","मलाई अनलाइन मास्टर कार्ड सक्रिय गर्नुपर्छ, के म केही मद्दत पाउन सक्छु?","मलाई online master card activate गर्नुपर्छ, के म केही help पाउन सक्छु?","malai online master card activate garnu parne, ke ma kehi maddat paun sakchu?",,14
BCILPQZ,I'd like to activate a credit card online were could i do it,CARD,activate_card,"I'm here to help you with activating your credit card online. The activation process is quick and convenient. Here's what you need to do:

1. Visit the official website of the credit card issuer.
2. Look for the ""Activate Your Card"" or ""Card Activation"" section on the homepage.
3. Click on the appropriate link to proceed with the activation.
4. You may need to provide essential details such as your card number, personal information, and security code.
5. Follow the on-screen prompts and instructions to complete the activation process.
6. Once you've successfully activated your card, you'll be able to start using it for your purchases.

If you encounter any difficulties during the activation process or have any further questions, please don't hesitate to reach out. I'm here to assist you every step of the way!","म अनलाइन क्रेडिट कार्ड सक्रिय गर्न चाहन्छु, म कहाँ गर्न सक्छु?","म online credit card activate गर्न चाहन्छु, म कहाँ गर्न सक्छु?","ma online credit card activate garna chahanchu, ma kaha garna sakchu?",,15
BCILPQ,id like to activate a master card online could uhelp me,CARD,activate_card,"I'd be more than happy to assist you with activating your MasterCard online. Here's what you need to do:

1. Visit our website at {{Company Website URL}} and log in to your account. If you don't have an account yet, you can easily create one by clicking on the ""Sign Up"" option.

2. Once you're logged in, navigate to the ""Cards"" or ""Account"" section, where you should see an option for card activation.

3. Click on the card activation option and follow the instructions provided. You may be required to enter information such as your card number, expiration date, and CVV.

4. After entering the necessary details, review the information for accuracy and click on the ""Activate"" button.

5. Once your MasterCard is successfully activated, you should receive a confirmation message or email. You can then start using your card for online transactions.

If you encounter any difficulties during the activation process or have any further questions, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website.

Thank you for choosing our services, and enjoy using your MasterCard!","म अनलाइनमा मास्टर कार्ड सक्रिय गर्न चाहन्छु, के तपाई मलाई मद्दत गर्न सक्नुहुन्छ?","म online मा master card activate गर्न चाहन्छु, के तपाई मलाई help गर्न सक्नुहुन्छ?","ma online ma master card activate garna chahanchu, ke tapai malai help garna saknuhunchha?",,16
BCILPZ,"I'd like to activate a Visa onmobile, where can I do it?",CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} on your mobile device. To activate your {{Credit Card}}, you can follow these steps:

1. Download and install the {{Banking App}} on your mobile device from the App Store or Google Play Store.
2. Open the app and log in using your registered username and password.
3. Once logged in, navigate to the ""Cards"" or ""Account"" section of the app.
4. Look for the option to ""Activate Card"" or ""Manage Cards.""
5. Select the {{Credit Card}} you want to activate.
6. Follow the on-screen prompts to provide the necessary information, such as the card number, expiration date, and CVV code.
7. Confirm the activation request, and your {{Credit Card}} will be successfully activated on your mobile device.

If you encounter any difficulties or have any additional questions during the activation process, please don't hesitate to reach out. I'm here to help make it a seamless experience for you.","म मोबाइलमा भिसा सक्रिय गर्न चाहन्छु, म कहाँ गर्न सक्छु?","म mobile मा Visa activate गर्न चाहन्छु, म कहाँ गर्न सक्छु?","ma mobile ma visa sakriya garna chahanchu, ma kaha garna sakchu?",,17
BCL,"I got to activate a Master Card on mobile, I need assistance",CARD,activate_card,"I'm here to assist you with activating your Master Card on your mobile device. Activating your card is a quick and simple process. Here's what you need to do:

1. Download and open the {{Banking App}} on your mobile device.
2. Log in to your account using your {{Username}} and {{Password}}.
3. Once you're logged in, navigate to the ""Cards"" or ""Account Services"" section.
4. Look for the option to activate your Master Card and select it.
5. Follow the on-screen instructions to enter the required information, such as your card number, expiration date, and CVV.
6. Once you've completed all the necessary steps, your Master Card should be successfully activated.

If you encounter any issues or need further assistance, please don't hesitate to let me know. I'm here to help make the activation process as smooth as possible for you!","मलाई मोबाइलमा मास्टर कार्ड सक्रिय गर्नुपर्छ, मलाई सहायता चाहिन्छ।","मलाई mobile मा master card activate गर्नुपर्छ, मलाई assistance चाहिन्छ।","malai mobile ma master card activate garnu parne, malai assistance chaiyo.",,18
BCILPQZ,id like to activate a visa on mobile how oculd i do it,CARD,activate_card,"I can help you activate your {{Credit Card}} on your mobile device! Let's get started:

1. First, make sure you have downloaded the official {{Bank}} mobile app from the {{App Store}} or {{Google Play Store}}.
2. Launch the app and log in to your account using your {{Username}} and {{Password}}.
3. Once you're logged in, navigate to the ""Cards"" or ""Account"" section of the app.
4. Look for the option to activate a new card and select it.
5. Follow the on-screen instructions, which will typically involve entering the 16-digit card number, expiration date, and CVV code.
6. Verify your identity using any additional security measures required, such as providing your date of birth or answering security questions.
7. After successfully completing the activation process, you should receive a confirmation message or notification within the app.

If you encounter any difficulties or have any questions during the activation process, don't hesitate to contact our {{Customer Support Team}} at {{Customer Support Phone Number}}. They are available {{Customer Support Working Hours}} to assist you.

Enjoy using your newly activated {{Credit Card}} on your mobile device! Let me know if there's anything else I can help you with.","म मोबाइलमा भिसा सक्रिय गर्न चाहन्छु, म कसरी गर्न सक्छु?","म mobile मा Visa activate गर्न चाहन्छु, म कसरी गर्न सक्छु?","ma mobile ma visa activate garna chahanchu, ma kasari garna sakchu?",,19
BI,how do I activate a card?,CARD,activate_card,"I'll be glad to assist you with activating your card. The activation process may vary depending on the type of card you have and the financial institution it is associated with. Here are a few general steps you can follow:

1. Look for the activation instructions that came with your card. These can typically be found on the card packaging or in the welcome letter or brochure.
2. If there are no specific instructions, you can usually activate your card by calling the customer service number provided on the back of your card. The representative will guide you through the activation process.
3. Some financial institutions also offer online card activation through their website or mobile app. Log in to your account and navigate to the card activation section. Follow the prompts to activate your card.
4. In case you encounter any difficulties or have any questions during the activation process, don't hesitate to reach out to the customer support team of your financial institution. They will be able to provide you with accurate guidance and resolve any issues you may face.

Please keep in mind that these steps are general guidelines, and it's always best to refer to the specific instructions or contact your card issuer for the most accurate and detailed information regarding card activation. Let me know if there's anything else I can assist you with!",म कसरी कार्ड सक्रिय गर्न सक्छु?,म कसरी card activate गर्न सक्छु?,ma kasari card activate garna sakchu?,,20
BCIL,"I got to activate a Master Card on mobile, where do I do it?",CARD,activate_card,"I'm happy to assist you with activating your {{Credit Card}} on mobile! Here's what you need to do:

1. Download and open the mobile banking app for your {{Credit Card}} issuer from your app store.
2. Log in to your account using your username and password. If you haven't registered yet, you may need to create an account first.
3. Once logged in, navigate to the 'Card Management' or 'Manage Cards' section within the app.
4. Look for an option like 'Activate Card' or 'Card Activation'.
5. Follow the on-screen prompts and enter the necessary details, which may include your card number, expiration date, and CVV code.
6. After providing the required information, submit the activation request.
7. You will receive a confirmation message or notification once your {{Credit Card}} is successfully activated.
8. Once activated, you can start using your {{Credit Card}} for purchases and transactions right away!

If you encounter any difficulties during the activation process or have further questions, feel free to reach out to the customer support team of your {{Credit Card}} issuer. They will be more than happy to assist you.","मलाई मोबाइलमा मास्टर कार्ड सक्रिय गर्नुपर्छ, म कहाँ गर्न सक्छु?","मलाई mobile मा master card activate गर्नुपर्छ, म कहाँ गर्न सक्छु?","malai mobile ma master card activate garnu parne, ma kaha garna sakchu?",,21
BCPQ,I'd like to activate an amex on mobile i need assistance,CARD,activate_card,"I'm here to assist you with activating your American Express (Amex) card on your mobile device. Here's what you need to do:

1. Download and open the official {{Bank App}} on your device.
2. If you already have an Amex online account, simply log in using your credentials. If not, you'll need to create one by providing your personal details.
3. Once you're logged in, navigate to the ""Account"" or ""Profile"" section.
4. Look for the option to activate your card and click on it.
5. Follow the on-screen instructions to enter the necessary details, such as your card number, expiration date, and CVV.
6. Verify your identity using the security measures provided, such as providing your date of birth or answering security questions.
7. Review and confirm the activation details.
8. After completing the activation process, you should receive a confirmation message that your {{Credit Card}} is successfully activated.

If you encounter any difficulties or have further questions during the activation process, don't hesitate to reach out to the Amex customer support team through the contact information provided in the mobile app. They will be more than happy to assist you.

Enjoy using your newly activated {{Credit Card}} on your mobile device!","म मोबाइलमा एक अमेक्स सक्रिय गर्न चाहन्छु, मलाई सहायता चाहिन्छ।","म mobile मा एक Amex activate गर्न चाहन्छु, मलाई assistance चाहिन्छ।","ma mobile ma ek amex activate garna chahanchu, malai sahayata chaiyo.",,22
BCILPQ,id like to activate a master card where could i do it,CARD,activate_card,"I can help you with activating your {{Credit Card}}. To activate your card, you have a few options:

1. Online Activation: Visit the website of the financial institution that issued your {{Credit Card}}. Look for the activation section, usually located under the customer service or account management area. Follow the instructions provided, which may include entering your card details and verifying your identity.

2. Phone Activation: Alternatively, you can activate your {{Credit Card}} over the phone. Look for the customer service number provided by the issuing financial institution. Give them a call, and a representative will guide you through the activation process.

3. Mobile App Activation: If your financial institution has a mobile banking app, check if they offer card activation through the app. Download the app if you haven't already and look for the activation feature. Follow the prompts to activate your {{Credit Card}}.

Remember, the specific steps may vary depending on the financial institution that issued your card. If you have any issues or need further assistance, feel free to provide me with the name of the financial institution, and I'll provide you with more specific instructions.","म मास्टर कार्ड सक्रिय गर्न चाहन्छु, म कहाँ गर्न सक्छु?","म master card activate गर्न चाहन्छु, म कहाँ गर्न सक्छु?","ma master card activate garna chahanchu, ma kaha garna sakchu?",,23
BCILPQZ,id like to activate a visa on mobile where do  i do it,CARD,activate_card,"Appreciate your message to us about activating your {{Credit Card}}. I'm here to assist you with that. To activate your {{Credit Card}} on your mobile, please follow these steps:

1. Download and install our mobile banking app from your device's app store.
2. Open the app and log in to your account using your credentials.
3. Navigate to the ""Cards"" section within the app.
4. Find the option to activate a new card and select it.
5. Enter the required information, such as your card number, expiration date, and CVV.
6. Review and accept any terms or agreements related to card activation.
7. Once you've successfully completed the activation process, your {{Credit Card}} will be ready to use.

If you encounter any difficulties during the activation process or have any further questions, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}.

Enjoy using your activated {{Credit Card}} on your mobile!","म मोबाइलमा भिसा सक्रिय गर्न चाहन्छु, म कहाँ गर्न सक्छु?","म mobile मा Visa activate गर्न चाहन्छु, म कहाँ गर्न सक्छु?","ma mobile ma visa activate garna chahanchu, ma kaha garna sakchu?",,24
BCIPZ,"I have to activate a card online, how could I do i?",CARD,activate_card,"I'm here to help you with activating your card online. To get started, please follow these steps:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your username and password. If you don't have an account yet, you'll need to create one by clicking on the ""Sign Up"" or ""Register"" button.
3. Once you're logged in, navigate to the ""Account"" or ""Profile"" section of your dashboard.
4. Look for the option to activate a card. It may be labeled as ""Activate Card,"" ""Card Activation,"" or something similar.
5. Click on the card activation option and follow the prompts to enter the necessary information, such as your card number, expiration date, and CVV code.
6. Double-check the information you've entered and submit the activation request.
7. You may receive a confirmation message or email once your card has been successfully activated.

If you encounter any issues or need further assistance during the process, don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}} or through the Live Chat on our website. We're available {{Customer Support Working Hours}} and ready to lend a hand. Best of luck with your card activation!","मलाई अनलाइन कार्ड सक्रिय गर्नुपर्छ, म कसरी गर्न सक्छु?","मलाई online card activate गर्नुपर्छ, म कसरी गर्न सक्छु?","malai online card activate garnu parne, ma kasari garna sakchu?",,25
BIZ,how can I activatean Amex on mobile?,CARD,activate_card,"I'm happy to assist you with activating your {{Credit Card}} on your mobile device! Here's what you need to do:

1. Download the {{Bank App}} from your device's app store.
2. Open the app and sign in to your {{Bank Account}} using your username and password.
3. Navigate to the ""Account"" or ""Profile"" section within the app.
4. Look for the option to activate your card. It may be labeled as ""Activate Card"" or something similar.
5. Follow the on-screen prompts to enter the required information, such as your card details and security code.
6. Once you've provided all the necessary details, submit the activation request.
7. You should receive a confirmation message indicating that your {{Credit Card}} has been successfully activated on your mobile device.

If you encounter any difficulties during the activation process or have any further questions, please don't hesitate to reach out. I'm here to help!",म मोबाइलमा अमेक्स कसरी सक्रिय गर्न सक्छु?,म mobile मा Amex कसरी activate गर्न सक्छु?,ma mobile ma amex kasari activate garna sakchu?,,26
BCIZ,"I got to activate a card , can you help me?",CARD,activate_card,"I'm happy to help! I'd be happy to assist you with activating your card. To get started, please follow these steps:

1. Download and install our mobile app from the App Store or Google Play Store.
2. Open the app and sign in to your account.
3. Navigate to the ""Cards"" section or a similar option.
4. Look for the option to activate a new card.
5. Enter the necessary information such as the card number, expiration date, and CVV.
6. Follow the on-screen prompts to complete the activation process.

If you encounter any difficulties during the activation process or have any questions, please don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}}. They're available {{Customer Support Working Hours}} to assist you further. Enjoy using your activated card!","मलाई कार्ड सक्रिय गर्नुपर्छ, के तपाई मलाई मद्दत गर्न सक्नुहुन्छ?","मलाई card activate गर्नुपर्छ, के तपाई मलाई help गर्न सक्नुहुन्छ?","malai card activate garnu parne, ke tapai malai maddat garna saknuhunchha?",,27
BIQ,can uhelp me activate a card,CARD,activate_card,"I'd be more than happy to assist you with activating your card. The activation process is quick and easy. Please follow the steps below:

1. Locate the activation instructions that came with your card. They should be included in the package or on a sticker attached to the card itself.

2. Visit our website at {{Company Website URL}} and look for the activation page. It's usually found under the ""Account"" or ""Card Services"" section.

3. Enter the required information, which may include your card number, expiration date, and CVV code. Make sure to double-check the accuracy of the details you enter.

4. Follow any additional prompts or instructions provided on the screen.

If you encounter any issues during the activation process or have further questions, please don't hesitate to reach out. I'm here to help!",के तपाई मलाई कार्ड सक्रिय गर्न मद्दत गर्न सक्नुहुन्छ?,के तपाई मलाई card activate गर्न help गर्न सक्नुहुन्छ?,ke tapai malai card activate garna help garna saknuhunchha?,,28
BCILPZ,"I have to activate a Visa on mobile , could you help me?",CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} on your mobile device. Follow these steps:

1. Download and launch the official {{Banking App}} on your mobile phone.
2. Log in to your account using your {{Username}} and {{Password}}.
3. Once logged in, navigate to the menu or settings section of the app.
4. Look for the ""Card Management"" or ""Card Activation"" option.
5. Select the {{Credit Card}} you want to activate.
6. Follow the on-screen instructions to verify your identity and complete the activation process.

If you encounter any issues or need further assistance, feel free to reach out to our {{Customer Support Team}}. They're available {{Customer Support Working Hours}} and will be more than happy to help you out.","मलाई मोबाइलमा भिसा सक्रिय गर्नुपर्छ, के तपाई मलाई मद्दत गर्न सक्नुहुन्छ?","मलाई mobile मा Visa activate गर्नुपर्छ, के तपाई मलाई help गर्न सक्नुहुन्छ?","malai mobile ma visa activate garnu parcha, ke tapai malai maddat garna saknuhunchha?",,29
